codenumber,newID,coder,exptr,pose,age,gender,Movement_Onset,Movement,Piece,Orientation,training,demoStart,demoEnd,testStart,FirstTouch,testEnd,robotExptr,robotChild,manipCheck,Naming,Goal,LTG,CRP,CRT
135 ,135 36,TS,, C2,36,F,109465,M,2,6,,63383,80170,84350,84350,113122, B, O, c,, 0,0,,
135 ,135 36,TS,, C2,36,F,111758,M,1,6,,63383,80170,84350,84350,113122, B, O, c,, 0,0,,
135 ,135 36,TS,, C2,36,F,112507,M,4,6,,63383,80170,84350,84350,113122, B, O, c,, 0,0,,
136 ,136 60,TS,, C5,60,M,297357,M,5,2,,247130,289627,296781,296781,324863, O, B, c,, 1,324863,,
136 ,136 60,TS,, C5,60,M,300513,M,1,5,,247130,289627,296781,296781,324863, O, B, c,, 1,324863,,
136 ,136 60,TS,, C5,60,M,300845,M,2,5,,247130,289627,296781,296781,324863, O, B, c,, 1,324863,,
136 ,136 60,TS,, C5,60,M,301739,M,4,1,,247130,289627,296781,296781,324863, O, B, c,, 1,324863,,
136 ,136 60,TS,, C5,60,M,304404,IM,3,1,,247130,289627,296781,296781,324863, O, B, c,, 1,324863,,
136 ,136 60,TS,, C5,60,M,306325,M,3,1,,247130,289627,296781,296781,324863, O, B, c,, 1,324863,,
136 ,136 60,TS,, C5,60,M,316187,M,5,2,,247130,289627,296781,296781,324863, O, B, c,, 1,324863,,
136 ,136 60,TS,, C5,60,M,317424,M,1,5,,247130,289627,296781,296781,324863, O, B, c,, 1,324863,,
136 ,136 60,TS,, C5,60,M,319627,M,2,5,,247130,289627,296781,296781,324863, O, B, c,, 1,324863,,
136 ,136 60,TS,, C5,60,M,320928,M,4,1,,247130,289627,296781,296781,324863, O, B, c,, 1,324863,,
136 ,136 60,TS,, C5,60,M,322475,M,3,1,,247130,289627,296781,296781,324863, O, B, c,, 1,324863,,
136 ,136 60,TS,, MJ4,60,M,213038,M,4,1,,171524,204642,209956,209956,221261, O, B, c,, 1,221261,,
136 ,136 60,TS,, MJ4,60,M,216879,M,5,1,,171524,204642,209956,209956,221261, O, B, c,, 1,221261,,
136 ,136 60,TS,, MJ4,60,M,218186,M,1,5,,171524,204642,209956,209956,221261, O, B, c,, 1,221261,,
136 ,136 60,TS,, MJ4,60,M,221064,M,2,5,,171524,204642,209956,209956,221261, O, B, c,, 1,221261,,
136 ,136 60,TS,, MJ4,60,M,231733,M,5,2,,171524,204642,209956,209956,221261, O, B, c,, 1,221261,,
136 ,136 60,TS,, MJ4,60,M,234710,M,3,2,,171524,204642,209956,209956,221261, O, B, c,, 1,221261,,
136 ,136 60,TS,, MJ4,60,M,236903,M,1,5,,171524,204642,209956,209956,221261, O, B, c,, 1,221261,,
136 ,136 60,TS,, MJ4,60,M,237285,M,2,5,,171524,204642,209956,209956,221261, O, B, c,, 1,221261,,
136 ,136 60,TS,, C3,60,M,139140,M,2,1,,104120,127238,133734,133734,148735, O, B, c,, 0,0,,
136 ,136 60,TS,, C3,60,M,141496,M,1,1,,104120,127238,133734,133734,148735, O, B, c,, 0,0,,
136 ,136 60,TS,, C3,60,M,145044,M,3,1,,104120,127238,133734,133734,148735, O, B, c,, 0,0,,
136 ,136 60,TS,, C3,60,M,157539,M,1,1,,104120,127238,133734,133734,148735, O, B, c,, 0,0,,
136 ,136 60,TS,, C3,60,M,159791,M,2,1,,104120,127238,133734,133734,148735, O, B, c,, 0,0,,
136 ,136 60,TS,, C3,60,M,163487,M,3,1,,104120,127238,133734,133734,148735, O, B, c,, 0,0,,
136 ,136 60,TS,, C2,60,M,90121,M,5,2,,65185,82787,82787,87860,96501, R, B, c,, 1,96501,,
136 ,136 60,TS,, C2,60,M,92971,M,1,5,,65185,82787,82787,87860,96501, R, B, c,, 1,96501,,
137 ,137 40,MO,, C4,40,F,247332,M,5,2,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,248818,M,1,5,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,249985,M,2,5,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,252557,M,3,3,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,255747,M,4,4,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,263173,M,5,6,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,266548,M,2,5,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,270781,M,1,5,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,274227,M,4,6,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,274875,M,3,6,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,295797,M,5,2,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,297377,M,1,5,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,298645,M,2,5,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,301062,M,4,4,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,302636,M,3,1,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,304710,M,4,6,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,308459,M,1,6,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,310719,M,2,6,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,MO,, C4,40,F,313165,M,5,6,,207834,242956,244111,244111,315178, O, B, c, 999, 0,0, 999, 999
137 ,137 40,TS,, C3,40,F,171276,M,1,5,,141800,163804,168111,168111,203180, O, B, c,, 0,0,,
137 ,137 40,TS,, C3,40,F,172825,M,5,2,,141800,163804,168111,168111,203180, O, B, c,, 0,0,,
137 ,137 40,TS,, C3,40,F,175153,M,1,5,,141800,163804,168111,168111,203180, O, B, c,, 0,0,,
137 ,137 40,TS,, C3,40,F,176053,M,2,5,,141800,163804,168111,168111,203180, O, B, c,, 0,0,,
137 ,137 40,TS,, C3,40,F,178530,IM,5,6,,141800,163804,168111,168111,203180, O, B, c,, 0,0,,
137 ,137 40,TS,, C3,40,F,180762,M,1,6,,141800,163804,168111,168111,203180, O, B, c,, 0,0,,
137 ,137 40,TS,, C3,40,F,181895,M,2,6,,141800,163804,168111,168111,203180, O, B, c,, 0,0,,
