"","codenumber","newID","coder","pose","age","gender","training","robotExptr","robotChild","manipCheck","Naming","CRP","CRT","M_count","TestDuration","DemoDuration","Goal","LatGoal","totalsteps","totalpairs","totaltriplets","totalquadruplets","totalquintuplets","test_lessthan_100per","test_lessthan_50per","LOOK_at_this_code"
"179",7148,"714860","MO","C5",60,"M",0,"O","B","c","","","",10,36.104,42.18," y",13.024,5,0,0,0,0,1,0,0
"180",7148,"714860","MO","CB2",60,"M",0,"999","R","np"," 999"," 999"," 999",23,91.29,0,"",0,1,0,0,0,0,0,0,0
"181",7148,"714860","MO","CB3",60,"M",0,"999","R","np"," 999"," 999"," 999",23,91.29,0,"",0,3,0,0,0,0,0,0,0
"182",7148,"714860","MO","CB4",60,"M",0,"999","R","np"," 999"," 999"," 999",23,91.29,0,"",0,1,0,0,0,0,0,0,0
"183",7148,"714860","MO","CB5",60,"M",0,"999","R","np"," 999"," 999"," 999",23,91.29,0,"",0,1,0,0,0,0,0,0,0
"184",7151,"715160","MO","C3",60,"F",0,"W","R","c","","","",4,22.872,22.805," y",10.625,3,2,1,0,0,1,0,0
"185",7151,"715160","MO","C4",60,"F",0,"W","R","c","","","",4,22.248,25.181," y",15.231,3,2,1,0,0,1,0,0
"186",7151,"715160","MO","C5",60,"F",0,"W","R","c","","","",9,74.147,32.115," y",13.292,5,4,3,2,1,0,0,0
"187",7151,"715160","MO","CB2",60,"F",0,"999","B","np"," 999"," 999"," 999",0,45.152,0," 999",999,0,0,0,0,0,0,0,0
"188",7151,"715160","MO","CB3",60,"F",0,"999","B","np"," 999"," 999"," 999",0,45.152,0," 999",999,0,0,0,0,0,0,0,0
"189",7151,"715160","MO","CB4",60,"F",0,"999","B","np"," 999"," 999"," 999",0,45.152,0," 999",999,0,0,0,0,0,0,0,0
"190",7151,"715160","MO","CB5",60,"F",0,"999","B","np"," 999"," 999"," 999",0,45.152,0," 999",999,0,0,0,0,0,0,0,0
"191",7176,"717660","MO","C3",60,"M",0,"W","R","c","","","",8,38.826,25.206," yes",10.08,3,0,0,0,0,0,0,0
"192",7176,"717660","MO","C4",60,"M",0,"W","R","c","","","",6,23.167,34.383," y",19.459,4,3,2,1,0,1,0,0
